Budget,Release Year,Revenue,Title,Starring Actors Popularity
55000000,1997,11466088,Turbulence,458.7381821
60000000,2000,47383689,Almost Famous,1.308687299
78146652,2009,60000000,Duplicity,4096.656727
50000000,1994,16671505,Baby's Day Out,0.0
50000000,1994,119208989,Beverly Hills Cop III,1798.594012
50000000,1994,49000000,On Deadly Ground,177.8244928
35000000,1982,69701637,The Best Little Whorehouse in Texas,89.96096194
36000000,1983,160000000,Never Say Never Again,2008.738027
63000000,2002,296655431,Austin Powers in Goldmember,1573.247368
75000000,2008,258270008,Wanted,3462.489382
75000000,2008,200276000,Valkyrie,7771.52019
48000000,1993,20915465,Super Mario Bros.,17.25617936
40000000,1987,191185897,The Living Daylights,0.0
66000000,2004,99318987,Hellboy,318.3272139
70000000,2006,38629478,Basic Instinct 2,986.5534604
70000000,2006,154937680,Dreamgirls,5543.422892
31500000,1979,89460381,Apocalypse Now,1784.445588
55000000,1998,198685114,City of Angels,1598.052396
55000000,1998,41610884,Ronin,1347.456142
60000000,2001,93375151,Cats & Dogs,3319.572531
60000000,2001,484409218,Shrek,3134.133338
60000000,2001,313542341,A Beautiful Mind,926.1735261
60000000,2001,56359980,15 Minutes,2223.335365
60000000,2001,105178561,Along Came a Spider,2477.711179
50000000,1995,287928194,Casper,77.72183203
50000000,1995,10382407,The Scarlet Letter,1902.239061
50000000,1995,189859560,Outbreak,1920.630837
50000000,1995,9851610,Jade,0.0
50000000,1995,152022101,Congo,181.8067894
50000000,1995,30303072,Assassins,2519.798762
53000000,1997,139804348,Anastasia,2221.249297
65000000,2004,128905366,Blade: Trinity,702.6652827
65000000,2004,217764291,Collateral,6738.964395
75000000,2009,61458982,Funny People,2333.140931
75000000,2009,443140005,Alvin and the Chipmunks: The Squeakquel,609.6366913
45000000,1992,178051587,Patriot Games,7161.434027
70000000,2007,135560026,Stardust,1141.115322
70000000,2007,195735876,Beowulf,2145.275901
70000000,2007,442824138,The Bourne Ultimatum,3674.70897
70000000,2007,53587404,Dragon Wars: D-War,253.2723203
70000000,2007,86658558,The Kingdom,1044.75035
55000000,1999,100230832,Any Given Sunday,1812.633643
60000000,2002,165333180,The Scorpion King,455.4417023
60000000,2002,93354918,Two Weeks Notice,1698.852383
60000000,2002,43061982,Reign of Fire,1043.914953
60000000,2002,214034224,The Bourne Identity,2341.091186
60000000,2002,52322400,Dragonfly,3404.83082
60000000,2002,55003135,Analyze That,2371.674478
60000000,2002,67312826,Star Trek: Nemesis,1680.40694
20000000,1965,15473333,The Greatest Story Ever Told,0.0
50000000,1996,75000000,The Ghost and the Darkness,1520.384512
50000000,1996,273552592,Jerry Maguire,3672.131329
50000000,1996,150270147,Broken Arrow,1014.317692
50000000,1996,113309743,Striptease,1880.666568
50000000,1996,42277365,Escape from L.A.,396.4417057
50000000,1996,60209334,Chain Reaction,2376.200591
32000000,1981,40382659,Reds,317.1127344
65000000,2005,64321501,Zathura: A Space Adventure,100.2105314
37000000,1986,37962774,Howard the Duck,1059.477235
59000000,2002,383257136,Ice Age,700.6178496
40000000,1989,332000000,Back to the Future Part II,1083.70203
45000000,1993,195268056,The Pelican Brief,1718.007752
57000000,2001,16991902,Rock Star,886.3693462
57000000,2001,62112895,Captain Corelli's Mandolin,2538.68302
57000000,2001,147845033,The Mexican,4022.445027
70000000,2008,111231041,Fool's Gold,1543.897256
