Budget,Revenue,Title,Average Vote,release_date,Release Year,Starring Actors Popularity
6500000,2401510,The East,6.5,2013/5/31,2013,1339.44327
4800000,79384880,"Good bye, Lenin!",7.4,2003/2/9,2003,0
7000000,1333124,The Neon Demon,6.4,2016/6/8,2016,1206.305769
6000000,19560274,The Guard,6.8,2011/7/7,2011,1154.982494
6000000,399611,The 5th Quarter,4.7,2011/3/25,2011,491.9024102
3500000,27900000,Menace II Society,7.2,1993/5/26,1993,0
6500000,255273813,Annabelle,5.6,2014/10/2,2014,0
5600000,18469680,[REC]²,6.4,2009/9/15,2009,39.28278328
3000000,7282851,Phantasm II,6.3,1988/7/8,1988,0
2500000,14400000,Halloween III: Season of the Witch,5,1982/10/22,1982,0
1800000,41158757,The French Connection,7.4,1971/10/9,1971,0
6000000,13231461,The Words,6.4,2012/9/7,2012,3673.079088
6000000,31081,Maniac,6,2012/12/26,2012,4536.565913
5000000,26888376,Clerks II,6.9,2006/5/25,2006,53.52453259
5000000,140666,Opal Dream,6.1,2006/11/22,2006,0
3600000,49800000,Leaving Las Vegas,7.1,1995/10/27,1995,84.83755048
2600000,32980880,Friday the 13th: The Final Chapter,5.9,1984/4/13,1984,0
609000,3202000,Top Hat,7.4,1935/9/6,1935,0
4800000,80578934,Hostel,5.7,2005/1/6,2005,24.99297087
6000000,32438988,Movie 43,4.4,2013/1/1,2013,2310.685409
2700000,3500000,The Wraith,5.9,1986/11/21,1986,0
2000000,7900000,Family Plot,6.7,1976/4/9,1976,0
5000000,782102,Redacted,6.2,2007/1/1,2007,0
3500000,28215918,Friday,7,1995/4/26,1995,114.0917512
3000000,15369573,Spaced Invaders,4.7,1990/4/27,1990,0
2800000,19170001,Friday the 13th Part VII: The New Blood,5.3,1988/5/13,1988,0
4361898,3031801,Mambo Italiano,5.6,2003/6/6,2003,0
6000000,32251,Song One,5.5,2014/1/20,2014,3602.986825
6000000,14348529,Barbecue,5.8,2014/4/30,2014,152.5958334
5000000,16174377,Sunshine Cleaning,6.5,2008/1/18,2008,511.6598984
